transaction_amount,customer_age,customer_balance,pred_fraud,pred_proba_fraud
5852.45,80,8735,0,0.08052
30450.2,27,55364,0,0.0001
689.24,52,17231,0,1e-05
25949.56,56,49903,0,6e-05
26064.02,37,60614,0,0.0
2465.36,31,30817,0,0.0
30642.56,54,47879,0,0.00855
55322.24,66,86441,0,0.00115
44438.1,64,45345,1,0.99966
20515.88,37,46627,0,0.0
38299.44,60,67192,0,7e-05
40693.8,66,67823,0,0.00034
2047.65,76,3723,0,0.06511
15223.67,52,19771,0,0.23555
23531.43,18,60337,0,0.0
79768.89,78,85773,1,1.0
4897.1,35,7534,0,0.06954
76860.4,41,86360,1,0.99998
16234.68,74,57981,0,0.0
23229.36,40,55308,0,0.0
